,ward,precinct,tot_votes,eman_votes,garcia_votes,eman_pct,garcia_pct
210,6,1,350,202,148,0.5771428571428572,0.4228571428571429
211,6,2,321,192,129,0.5981308411214953,0.40186915887850466
212,6,3,333,235,98,0.7057057057057057,0.29429429429429427
213,6,4,220,133,87,0.6045454545454545,0.39545454545454545
214,6,5,217,120,97,0.5529953917050692,0.4470046082949309
215,6,6,285,164,121,0.5754385964912281,0.4245614035087719
216,6,7,264,160,104,0.6060606060606061,0.3939393939393939
217,6,8,321,176,145,0.5482866043613707,0.4517133956386293
218,6,9,254,141,113,0.5551181102362205,0.4448818897637795
219,6,10,186,108,78,0.5806451612903226,0.41935483870967744
220,6,11,243,135,108,0.5555555555555556,0.4444444444444444
221,6,12,176,101,75,0.5738636363636364,0.42613636363636365
222,6,13,227,121,106,0.5330396475770925,0.4669603524229075
223,6,14,282,156,126,0.5531914893617021,0.44680851063829785
224,6,15,247,138,109,0.5587044534412956,0.44129554655870445
225,6,16,337,185,152,0.5489614243323442,0.45103857566765576
226,6,17,213,141,72,0.6619718309859155,0.3380281690140845
227,6,18,200,118,82,0.59,0.41
228,6,19,280,183,97,0.6535714285714286,0.3464285714285714
229,6,20,159,88,71,0.5534591194968553,0.44654088050314467
230,6,21,173,107,66,0.6184971098265896,0.3815028901734104
231,6,22,203,111,92,0.5467980295566502,0.45320197044334976
232,6,23,174,97,77,0.5574712643678161,0.4425287356321839
233,6,24,165,104,61,0.6303030303030303,0.3696969696969697
234,6,25,174,95,79,0.5459770114942529,0.4540229885057471
235,6,26,170,90,80,0.5294117647058824,0.47058823529411764
236,6,27,160,74,86,0.4625,0.5375
237,6,28,147,79,68,0.5374149659863946,0.46258503401360546
238,6,29,351,198,153,0.5641025641025641,0.4358974358974359
239,6,30,239,121,118,0.5062761506276151,0.49372384937238495
240,6,31,321,191,130,0.5950155763239875,0.40498442367601245
241,6,32,272,155,117,0.5698529411764706,0.43014705882352944
242,6,33,302,167,135,0.5529801324503312,0.4470198675496689
243,6,34,303,170,133,0.5610561056105611,0.4389438943894389
244,6,35,296,166,130,0.5608108108108109,0.4391891891891892
245,6,36,341,203,138,0.5953079178885631,0.4046920821114369
246,6,37,373,187,186,0.5013404825737265,0.49865951742627346
247,6,38,340,172,168,0.5058823529411764,0.49411764705882355
248,6,39,249,128,121,0.5140562248995983,0.4859437751004016
249,6,40,258,139,119,0.5387596899224806,0.46124031007751937
250,6,41,295,182,113,0.6169491525423729,0.38305084745762713
251,6,42,268,153,115,0.5708955223880597,0.4291044776119403
252,6,43,270,137,133,0.5074074074074074,0.4925925925925926
253,6,44,323,198,125,0.6130030959752322,0.38699690402476783
254,6,45,301,157,144,0.521594684385382,0.47840531561461797
255,6,46,219,119,100,0.54337899543379,0.45662100456621
256,6,47,229,132,97,0.5764192139737991,0.42358078602620086
257,6,48,284,171,113,0.602112676056338,0.397887323943662
258,7,1,229,119,110,0.519650655021834,0.48034934497816595
259,7,2,240,128,112,0.5333333333333333,0.4666666666666667
260,7,3,289,156,133,0.5397923875432526,0.4602076124567474
261,7,4,289,148,141,0.5121107266435986,0.48788927335640137
262,7,5,225,111,114,0.49333333333333335,0.5066666666666667
263,7,6,388,221,167,0.5695876288659794,0.43041237113402064
