,GEO_ID,tot_vap,white_alone_vap,any_part_black_vap,any_part_aian_vap,any_part_asian_vap,any_part_nhpi_vap,hispanic_latino_vap,not_hispanic_latino_vap,white_latino_vap,poc_latino_vap,any_part_poc_vap,multiracial_vap,total_housing_units,total_occupied_housing,total_vacant_housing,tot_pop,poc_aian_vap,any_part_black_latino_vap
218,1000000US170310105013002,74,54,4,1,11,0,7,67,0,7,20,5,46,46,0,82,1,0
219,1000000US170310105013003,213,170,11,2,20,0,12,201,0,12,43,2,173,172,1,214,1,0
220,1000000US170310105013004,122,58,34,1,17,0,13,109,0,13,64,6,110,92,18,130,0,1
221,1000000US170310105013005,73,42,19,2,8,0,4,69,0,4,31,4,73,60,13,76,1,0
222,1000000US170310105013006,60,19,8,5,2,0,33,27,0,33,41,5,34,29,5,72,5,1
223,1000000US170310105013007,146,78,47,1,7,0,15,131,0,15,68,4,114,101,13,164,0,2
224,1000000US170310105013008,51,27,9,2,4,0,11,40,0,11,24,1,30,28,2,55,2,0
225,1000000US170310105013009,66,38,15,0,0,0,10,56,0,10,28,2,37,34,3,74,0,0
226,1000000US170310105013010,68,40,15,4,2,0,12,56,0,12,28,7,32,32,0,77,3,1
227,1000000US170310105021000,190,56,67,10,23,0,44,146,0,44,134,6,145,116,29,241,4,1
228,1000000US170310105021001,78,66,5,0,3,0,5,73,0,5,12,0,40,33,7,84,0,1
229,1000000US170310105021002,57,33,7,1,3,0,14,43,0,14,24,6,31,24,7,62,1,0
230,1000000US170310105021003,47,36,5,0,2,0,4,43,0,4,11,0,31,28,3,53,0,0
231,1000000US170310105021004,124,37,65,1,6,0,17,107,0,17,87,6,83,81,2,140,1,3
232,1000000US170310105021005,124,86,22,1,10,0,16,108,0,16,38,4,62,57,5,135,0,10
233,1000000US170310105021006,203,115,59,1,18,0,11,192,0,11,88,5,222,104,118,233,1,1
234,1000000US170310105021007,78,58,6,0,9,0,6,72,0,6,20,2,53,48,5,83,0,1
235,1000000US170310105021008,72,60,8,0,1,0,3,69,0,3,12,0,47,46,1,81,0,0
236,1000000US170310105021009,69,57,0,0,2,1,9,60,0,9,12,2,44,41,3,74,0,0
237,1000000US170310105021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,1000000US170310105021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,1000000US170310105021012,138,92,26,0,7,0,13,125,0,13,46,4,86,82,4,148,0,0
240,1000000US170310105022000,327,138,86,2,76,0,27,300,0,27,189,16,216,196,20,392,2,1
241,1000000US170310105022001,204,105,68,3,17,1,16,188,0,16,99,7,181,149,32,227,1,2
242,1000000US170310105022002,128,86,13,11,10,0,19,109,0,19,42,3,77,73,4,149,11,0
243,1000000US170310105022003,104,69,19,1,4,0,14,90,0,14,35,1,71,63,8,138,1,2
244,1000000US170310105022004,83,54,10,0,5,1,13,70,0,13,29,2,47,46,1,96,0,1
245,1000000US170310105022005,190,99,62,4,9,0,20,170,0,20,91,8,179,161,18,204,1,1
246,1000000US170310105022006,57,44,7,1,3,0,2,55,0,2,13,0,41,36,5,70,1,0
247,1000000US170310105022007,132,74,43,0,8,0,8,124,0,8,58,4,108,104,4,149,0,1
248,1000000US170310105022008,106,43,46,0,8,0,7,99,0,7,63,0,93,84,9,110,0,1
249,1000000US170310105022009,134,105,10,2,9,1,8,126,0,8,29,2,60,57,3,146,2,0
250,1000000US170310105022010,80,48,19,2,4,0,8,72,0,8,32,2,61,55,6,86,2,1
251,1000000US170310105031000,152,99,20,4,14,0,16,136,0,16,53,2,152,107,45,155,3,0
252,1000000US170310105031001,15,13,0,0,0,1,1,14,0,1,2,0,6,6,0,15,0,0
253,1000000US170310105031002,71,55,4,0,1,0,11,60,0,11,16,3,20,20,0,73,0,0
254,1000000US170310105031003,38,17,3,0,9,0,9,29,0,9,21,0,17,16,1,41,0,0
255,1000000US170310105031004,48,34,2,0,9,0,3,45,0,3,14,0,27,24,3,57,0,0
256,1000000US170310105031005,83,52,3,4,11,0,16,67,0,16,31,4,44,38,6,101,2,1
257,1000000US170310105031006,489,226,74,13,176,0,12,477,0,12,263,21,450,398,52,490,9,3
258,1000000US170310105031007,46,33,0,1,12,0,0,46,0,0,13,1,25,22,3,47,1,0
259,1000000US170310105031008,57,37,6,0,8,0,7,50,0,7,20,0,34,31,3,66,0,1
260,1000000US170310105031009,65,43,5,0,6,0,11,54,0,11,22,0,32,29,3,71,0,0
261,1000000US170310105031010,77,61,2,0,13,0,1,76,0,1,16,2,29,28,1,83,0,0
262,1000000US170310105031011,81,59,11,0,0,0,11,70,0,11,22,0,35,32,3,84,0,0
263,1000000US170310105031012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,1000000US170310105031013,75,43,12,0,6,0,14,61,0,14,32,2,40,34,6,84,0,0
265,1000000US170310105031014,39,17,6,6,3,0,13,26,0,13,22,4,18,18,0,47,5,0
266,1000000US170310105031015,40,11,19,0,3,0,7,33,0,7,29,3,22,20,2,52,0,0
267,1000000US170310105031016,14,4,0,0,5,0,5,9,0,5,10,0,18,6,12,16,0,0
268,1000000US170310105032000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,1000000US170310105032001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,1000000US170310105032002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,1000000US170310105032003,73,46,19,1,5,0,2,71,0,2,27,5,40,34,6,74,1,0
272,1000000US170310105032004,67,42,10,1,7,0,8,59,0,8,25,3,39,35,4,73,0,1
273,1000000US170310105032005,58,49,6,1,1,0,1,57,0,1,9,0,24,24,0,60,1,0
274,1000000US170310105032006,156,90,40,4,13,0,12,144,0,12,66,5,131,122,9,169,0,0
275,1000000US170310105032007,222,151,26,4,14,0,33,189,0,33,71,11,56,44,12,227,3,2
276,1000000US170310105032008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
